asin,demand,constraint,submitted,confirmed,tr,received,week
57EDB151CD,1.0,0.0,2.0,2.0,1.0,1.0,w1
C41B4CD96A,1.0,1.0,2.0,2.0,2.0,0.0,w1
53075060A8,2.0,0.0,2.0,2.0,1.0,1.0,w1
BEBADE2598,4.0,3.0,5.0,5.0,4.0,1.0,w1
4BBB37458C,3.0,1.0,4.0,4.0,3.0,2.0,w1
EC227AFC2C,4.0,1.0,4.0,4.0,3.0,1.0,w1
D52491A5EC,4.0,1.0,4.0,4.0,2.0,2.0,w1
338BB1CDBE,0.0,0.0,1.0,1.0,0.0,0.0,w1
B4839C03FD,1.0,0.0,1.0,1.0,3.0,-2.0,w1
B19DE9E6C2,3.0,3.0,0.0,0.0,0.0,-0.0,w1
0D0C2B59D2,2.0,2.0,1.0,1.0,1.0,0.0,w1
8A26B08A82,1.0,2.0,0.0,0.0,2.0,-2.0,w1
020B85B615,2.0,0.0,2.0,2.0,2.0,1.0,w1
3A3BF0160A,0.0,0.0,1.0,1.0,1.0,0.0,w1
88B1FA0D79,0.0,1.0,-0.0,0.0,0.0,0.0,w1
42FCE197BA,1.0,0.0,2.0,2.0,3.0,-1.0,w1
B1DF4E7043,1.0,1.0,3.0,3.0,2.0,0.0,w1
78F1B6D22C,1.0,1.0,1.0,1.0,1.0,-0.0,w1
D5D87721C7,2.0,1.0,3.0,3.0,3.0,0.0,w1
097D270EB2,1.0,0.0,3.0,3.0,2.0,1.0,w1
7C149DD934,4.0,2.0,3.0,3.0,2.0,1.0,w1
50D465DD83,0.0,1.0,0.0,1.0,1.0,0.0,w1
F41032172A,2.0,4.0,-0.0,-0.0,1.0,-2.0,w1
68611EF55B,1.0,2.0,-0.0,-0.0,7.0,-7.0,w1
5E88259077,1.0,0.0,2.0,2.0,1.0,1.0,w1
419EB4A12D,2.0,3.0,-1.0,-1.0,2.0,-3.0,w1
93B77DB509,2.0,2.0,0.0,0.0,1.0,-0.0,w1
1B67386B3C,2.0,0.0,3.0,3.0,4.0,-2.0,w1
CB710670C6,2.0,0.0,3.0,3.0,2.0,2.0,w1
643FDCD73B,1.0,2.0,0.0,0.0,5.0,-5.0,w1
D23985ADB1,4.0,0.0,5.0,5.0,3.0,2.0,w1
F7EA53511D,2.0,1.0,2.0,2.0,4.0,-2.0,w1
4EF58F17D8,0.0,0.0,-0.0,-0.0,1.0,-1.0,w1
618D4F7A72,4.0,1.0,3.0,3.0,3.0,0.0,w1
02C7E526D5,1.0,1.0,1.0,1.0,1.0,1.0,w1
6811CA59B2,1.0,1.0,1.0,1.0,1.0,0.0,w1
1517D5EC2B,3.0,1.0,3.0,4.0,2.0,1.0,w1
4C5C5E7E9A,1.0,1.0,0.0,0.0,1.0,-0.0,w1
413A6C9C8E,3.0,0.0,3.0,3.0,2.0,1.0,w1
D986340343,1.0,2.0,0.0,0.0,1.0,-1.0,w1
4B736A581F,0.0,1.0,0.0,0.0,0.0,-0.0,w1
F2620E1E7E,1.0,2.0,0.0,0.0,0.0,-0.0,w1
E92EF37F4E,1.0,2.0,0.0,0.0,0.0,0.0,w1
C1CA2537FF,4.0,0.0,5.0,5.0,4.0,1.0,w1
885E3759B8,2.0,1.0,2.0,2.0,2.0,0.0,w1
EAC5B63C90,1.0,2.0,-0.0,1.0,2.0,-1.0,w1
82EDD52287,1.0,1.0,-0.0,-0.0,2.0,-2.0,w1
DA106F7AD4,3.0,0.0,5.0,5.0,4.0,1.0,w1
EB65F77C59,1.0,0.0,2.0,2.0,1.0,1.0,w1
34CF67C946,2.0,0.0,3.0,4.0,4.0,-1.0,w1
EEE7A330C6,1.0,1.0,0.0,0.0,1.0,-1.0,w1
E42C148426,3.0,0.0,3.0,3.0,2.0,1.0,w1
C683AE6AD8,2.0,0.0,3.0,4.0,3.0,1.0,w1
47F54E08F8,1.0,1.0,-0.0,-0.0,1.0,-1.0,w1
89D9FBF840,3.0,1.0,5.0,5.0,3.0,2.0,w1
A3183FE9AB,1.0,2.0,-0.0,-0.0,2.0,-2.0,w1
59EB8FCEBE,3.0,1.0,3.0,3.0,2.0,1.0,w1
ABA8F6FF87,3.0,3.0,0.0,1.0,3.0,-2.0,w1
7BEA91E299,1.0,2.0,-1.0,-1.0,-0.0,-1.0,w1
74AE4207CE,2.0,3.0,-0.0,-0.0,1.0,-1.0,w1
CB520A4170,1.0,0.0,2.0,2.0,2.0,1.0,w1
FA1F7D1F70,1.0,3.0,-1.0,-1.0,0.0,-2.0,w1
E3A5DAC075,2.0,2.0,1.0,1.0,2.0,-1.0,w1
8F85902DF1,3.0,0.0,2.0,2.0,3.0,-0.0,w1
04BF7B4A9F,1.0,1.0,0.0,0.0,1.0,-1.0,w1
3A919810C5,3.0,0.0,3.0,3.0,3.0,0.0,w1
45DB647875,4.0,0.0,4.0,4.0,4.0,0.0,w1
087083C979,1.0,1.0,1.0,1.0,2.0,-1.0,w1
68DF41A7E4,3.0,2.0,1.0,2.0,4.0,-3.0,w1
0E2B3452B8,1.0,1.0,0.0,0.0,1.0,-1.0,w1
9FCE87ECAA,2.0,2.0,0.0,0.0,1.0,-1.0,w1
79824A0BBC,0.0,1.0,1.0,1.0,1.0,1.0,w1
61594B0266,1.0,0.0,1.0,1.0,1.0,1.0,w1
25091BC03E,4.0,3.0,2.0,2.0,2.0,-0.0,w1
D0E03A37B5,2.0,3.0,1.0,1.0,1.0,-0.0,w1
7AD4E32D41,3.0,0.0,3.0,3.0,5.0,-2.0,w1
72584C558B,1.0,0.0,2.0,2.0,1.0,1.0,w1
A2A7AE3404,1.0,1.0,0.0,0.0,1.0,-1.0,w1
4EAC4CF267,2.0,0.0,3.0,3.0,3.0,0.0,w1
9DD2ACE200,7.0,1.0,7.0,7.0,6.0,1.0,w1
0C44E78979,2.0,0.0,3.0,3.0,2.0,1.0,w1
93BD4FC1FC,1.0,0.0,1.0,2.0,2.0,-0.0,w1
29D0B04C3E,1.0,2.0,1.0,1.0,1.0,-0.0,w1
435D161C0B,3.0,0.0,4.0,4.0,2.0,1.0,w1
4AE1CBFCB5,3.0,0.0,4.0,4.0,2.0,2.0,w1
2023EA1BA0,1.0,2.0,0.0,0.0,2.0,-1.0,w1
5FB0B7461A,1.0,0.0,5.0,5.0,3.0,2.0,w1
7284DBB68B,3.0,2.0,1.0,1.0,2.0,-1.0,w1
9F4BA3BBB6,3.0,1.0,2.0,2.0,1.0,1.0,w1
853DA3E904,3.0,0.0,2.0,2.0,2.0,1.0,w1
C8E8D632C9,1.0,0.0,4.0,4.0,3.0,1.0,w1
06085C1A25,2.0,0.0,2.0,2.0,1.0,1.0,w1
97E61D8A1E,1.0,1.0,1.0,1.0,1.0,0.0,w1
ED09ADBC1D,1.0,2.0,-0.0,-0.0,1.0,-1.0,w1
6413301CFD,4.0,0.0,4.0,4.0,5.0,-1.0,w1
4EC69B201F,3.0,2.0,3.0,3.0,2.0,1.0,w1
47A2FA6E5D,2.0,0.0,2.0,2.0,4.0,-2.0,w1
F432842676,3.0,2.0,1.0,1.0,3.0,-2.0,w1
7EAEAA9E64,4.0,0.0,8.0,8.0,5.0,3.0,w1
0BCFA0E261,2.0,1.0,2.0,2.0,2.0,0.0,w1
A725B48B82,2.0,0.0,3.0,3.0,2.0,1.0,w1
3F130DAD56,1.0,1.0,3.0,3.0,2.0,2.0,w1
B0A5012D0F,2.0,0.0,2.0,2.0,4.0,-2.0,w1
72909C02E5,4.0,0.0,4.0,4.0,6.0,-2.0,w1
6209F68FD1,3.0,0.0,3.0,3.0,3.0,-0.0,w1
53545E2562,2.0,3.0,-1.0,-1.0,3.0,-4.0,w1
38403A09AE,3.0,1.0,3.0,3.0,3.0,0.0,w1
C9ACD37B84,2.0,1.0,2.0,2.0,2.0,1.0,w1
1523FD6370,1.0,3.0,-1.0,-1.0,0.0,-1.0,w1
36F9EFA93A,2.0,1.0,1.0,1.0,4.0,-3.0,w1
A4B2E38152,1.0,2.0,1.0,1.0,1.0,-0.0,w1
B0BBC4B7E3,1.0,0.0,1.0,1.0,3.0,-2.0,w1
1E345711CE,1.0,0.0,1.0,1.0,3.0,-2.0,w1
B4EBCA5CC8,5.0,1.0,6.0,6.0,3.0,2.0,w1
EDAA82C7F6,1.0,0.0,1.0,1.0,2.0,-1.0,w1
254AB324E1,5.0,2.0,2.0,2.0,3.0,-1.0,w1
396750A6EF,2.0,0.0,2.0,3.0,2.0,1.0,w1
ED0F40C559,1.0,1.0,2.0,2.0,3.0,-1.0,w1
D709126257,2.0,0.0,6.0,6.0,4.0,4.0,w1
5ECBED5D28,3.0,2.0,1.0,1.0,2.0,-1.0,w1
F909A18BD5,2.0,0.0,3.0,3.0,3.0,-0.0,w1
1E386374E3,2.0,1.0,2.0,2.0,3.0,-1.0,w1
E1459408BB,2.0,1.0,1.0,1.0,1.0,1.0,w1
D825740780,1.0,3.0,-2.0,-2.0,0.0,-2.0,w1
FDFA55F392,1.0,2.0,2.0,2.0,1.0,0.0,w1
9478035D63,1.0,2.0,-0.0,-0.0,0.0,-1.0,w1
6B1EFFE7E5,5.0,0.0,6.0,7.0,4.0,3.0,w1
F25E55A440,2.0,1.0,3.0,3.0,2.0,1.0,w1
80144E7A2A,2.0,3.0,1.0,3.0,2.0,1.0,w1
13B2A7473E,2.0,3.0,0.0,0.0,1.0,-1.0,w1
A13B20F326,3.0,3.0,4.0,4.0,2.0,2.0,w1
F37BA2A4F3,2.0,0.0,2.0,2.0,2.0,1.0,w1
6074A07B88,3.0,2.0,4.0,4.0,2.0,2.0,w1
F8CB0175B4,2.0,1.0,2.0,2.0,1.0,0.0,w1
B38204EC93,1.0,2.0,-1.0,1.0,1.0,-0.0,w1
D666B3F997,2.0,1.0,2.0,2.0,5.0,-3.0,w1
398FE4EFC5,0.0,0.0,1.0,1.0,2.0,-1.0,w1
D55C411136,2.0,1.0,2.0,2.0,2.0,0.0,w1
0D2595C562,3.0,0.0,3.0,3.0,4.0,-0.0,w1
7CD84EC7F8,1.0,0.0,0.0,0.0,0.0,-0.0,w1
9DBA7069E3,2.0,0.0,3.0,3.0,2.0,1.0,w1
F5B7B01EF2,5.0,1.0,4.0,4.0,2.0,2.0,w1
1CF2DBD7AA,1.0,1.0,1.0,1.0,1.0,0.0,w1
3906BFFFCE,1.0,0.0,2.0,2.0,1.0,0.0,w1
66BF8DE3C1,3.0,0.0,3.0,3.0,2.0,1.0,w1
90A807424B,4.0,1.0,3.0,4.0,7.0,-3.0,w1
329791FA42,7.0,1.0,7.0,7.0,4.0,3.0,w1
C95C19ADA4,2.0,0.0,2.0,2.0,3.0,-1.0,w1
13C70735B6,2.0,0.0,4.0,4.0,2.0,2.0,w1
591FDF4F50,3.0,2.0,1.0,1.0,4.0,-2.0,w1
40E95DEAD7,4.0,1.0,5.0,6.0,4.0,2.0,w1
1E97C921F5,1.0,1.0,-0.0,-0.0,1.0,-1.0,w1
F31BCF384A,6.0,1.0,5.0,5.0,3.0,2.0,w1
36B0086BD6,1.0,1.0,2.0,3.0,4.0,-1.0,w1
00670590B5,2.0,0.0,3.0,3.0,3.0,-0.0,w1
4E107A9184,2.0,1.0,5.0,5.0,4.0,1.0,w1
C07FB96C08,2.0,3.0,-1.0,-1.0,-0.0,-0.0,w1
9F7D611FEF,1.0,1.0,3.0,3.0,2.0,1.0,w1
1DE4C70F5B,1.0,2.0,-1.0,-0.0,1.0,-1.0,w1
5ECDB517FB,1.0,3.0,-0.0,0.0,0.0,-0.0,w1
7654691C73,2.0,1.0,5.0,5.0,5.0,1.0,w1
7D06FE4C31,0.0,0.0,0.0,0.0,1.0,-1.0,w1
FA9B8C7684,3.0,1.0,2.0,2.0,1.0,2.0,w1
C21CDC2364,2.0,1.0,3.0,3.0,3.0,0.0,w1
9C5A3EF5DB,3.0,0.0,3.0,4.0,9.0,-5.0,w1
9D8729FD2A,1.0,0.0,1.0,1.0,1.0,1.0,w1
75A183CB53,3.0,3.0,1.0,1.0,1.0,0.0,w1
254B3EA568,2.0,1.0,2.0,2.0,3.0,-1.0,w1
ADFC97E75E,1.0,2.0,-1.0,-1.0,-0.0,-0.0,w1
2D91360770,2.0,1.0,2.0,2.0,2.0,-0.0,w1
05882926FE,5.0,1.0,5.0,5.0,3.0,3.0,w1
AB03038E10,2.0,0.0,2.0,2.0,1.0,0.0,w1
55BBF3CC74,3.0,0.0,3.0,4.0,4.0,-0.0,w1
4B2AB9575A,0.0,1.0,-0.0,-0.0,2.0,-2.0,w1
DD84710E9C,2.0,3.0,-1.0,-1.0,0.0,-1.0,w1
1FD1046F5F,1.0,0.0,2.0,2.0,7.0,-6.0,w1
70D54CFEEE,1.0,1.0,0.0,0.0,1.0,-1.0,w1
E52898C3B6,2.0,0.0,2.0,2.0,1.0,1.0,w1
63D3DA23C6,4.0,1.0,5.0,5.0,3.0,2.0,w1
97EC986A88,5.0,2.0,3.0,3.0,2.0,1.0,w1
4A43365F9F,2.0,1.0,2.0,2.0,5.0,-3.0,w1
BBC6800A6B,2.0,2.0,0.0,0.0,1.0,-0.0,w1
EA7AF42778,1.0,2.0,-1.0,-0.0,1.0,-1.0,w1
88D4CF713A,1.0,0.0,2.0,3.0,3.0,0.0,w1
1E55B2D126,1.0,0.0,1.0,1.0,1.0,0.0,w1
971960E0E6,4.0,2.0,3.0,3.0,1.0,1.0,w1
BBA6B3043D,2.0,5.0,-0.0,-0.0,0.0,-1.0,w1
F64D98B791,2.0,0.0,4.0,4.0,3.0,1.0,w1
5449FAC1F5,1.0,1.0,1.0,1.0,1.0,0.0,w1
E93AB8166E,0.0,1.0,0.0,0.0,1.0,-1.0,w1
5E48F4977C,2.0,2.0,3.0,3.0,2.0,1.0,w1
620CAA2000,0.0,4.0,-3.0,-3.0,0.0,-3.0,w1
D24E666E01,2.0,1.0,1.0,1.0,1.0,0.0,w1
C96B533E18,1.0,1.0,2.0,2.0,1.0,1.0,w1
3282C65419,5.0,0.0,5.0,5.0,3.0,3.0,w1
B4DDBDB797,2.0,1.0,2.0,2.0,3.0,-2.0,w1
C9A6E106DE,1.0,3.0,-1.0,-1.0,1.0,-2.0,w1
7A50FF7D62,3.0,1.0,2.0,2.0,2.0,0.0,w1
00DCE332D4,1.0,2.0,-1.0,-1.0,0.0,-1.0,w1
78E4A1607A,2.0,1.0,1.0,1.0,1.0,-0.0,w1
10EC45043D,3.0,1.0,3.0,3.0,3.0,0.0,w1
207EBB82EF,1.0,1.0,3.0,3.0,2.0,1.0,w1
ECF9B674F6,2.0,1.0,1.0,1.0,1.0,0.0,w1
95DD82A71E,1.0,0.0,3.0,3.0,2.0,1.0,w1
D37E6FA8ED,2.0,2.0,0.0,0.0,1.0,-1.0,w1
C8484D7AC4,2.0,1.0,4.0,4.0,2.0,2.0,w1
847228C7A0,1.0,0.0,2.0,2.0,1.0,1.0,w1
7F830AE7AE,1.0,1.0,1.0,1.0,2.0,-1.0,w1
57596E07D3,2.0,0.0,2.0,3.0,1.0,1.0,w1
F470E7006D,2.0,0.0,3.0,3.0,2.0,2.0,w1
C72467D800,1.0,1.0,1.0,1.0,2.0,-1.0,w1
5DC6C99AB0,2.0,2.0,0.0,0.0,1.0,-1.0,w1
6FC4D2E195,1.0,2.0,1.0,1.0,1.0,0.0,w1
A6E201797A,3.0,1.0,3.0,3.0,4.0,-0.0,w1
80800F822A,2.0,0.0,2.0,2.0,5.0,-3.0,w1
61D32F12FD,5.0,0.0,5.0,6.0,4.0,2.0,w1
EFFBDCE77E,2.0,0.0,2.0,2.0,1.0,1.0,w1
C114C8B630,2.0,0.0,2.0,2.0,2.0,1.0,w1
8CFBF9BDF5,0.0,1.0,-0.0,-0.0,0.0,-0.0,w1
BE05278AA2,2.0,3.0,-1.0,-1.0,0.0,-1.0,w1
5FD03B11BC,2.0,0.0,2.0,2.0,2.0,1.0,w1
5499D3245E,2.0,1.0,0.0,1.0,1.0,0.0,w1
8A12B87381,1.0,1.0,1.0,1.0,2.0,-1.0,w1
4234E2AED9,1.0,0.0,2.0,2.0,2.0,0.0,w1
D1ACE5828C,4.0,1.0,3.0,3.0,3.0,1.0,w1
0F8487F411,1.0,0.0,3.0,3.0,3.0,0.0,w1
43D7589D47,3.0,1.0,2.0,2.0,2.0,0.0,w1
131EE532FB,2.0,0.0,3.0,3.0,2.0,2.0,w1
B4F0DB2878,1.0,0.0,1.0,1.0,1.0,-0.0,w1
22BE886D78,1.0,1.0,1.0,1.0,2.0,-2.0,w1
8974FA8871,4.0,2.0,2.0,2.0,2.0,0.0,w1
2F3B55FE5E,0.0,1.0,0.0,2.0,3.0,-1.0,w1
04BC23AB05,2.0,0.0,3.0,3.0,7.0,-4.0,w1
1B303FEC59,1.0,0.0,1.0,1.0,4.0,-3.0,w1
54C7C21573,1.0,2.0,0.0,0.0,1.0,-1.0,w1
D30B809C0D,0.0,0.0,1.0,1.0,1.0,1.0,w1
77BB792447,1.0,0.0,3.0,3.0,4.0,-0.0,w1
5080387F0B,2.0,0.0,4.0,4.0,2.0,2.0,w1
8B675E0A6F,0.0,0.0,1.0,1.0,1.0,0.0,w1
2C475357D2,2.0,2.0,1.0,1.0,0.0,2.0,w1
D6F573D418,1.0,0.0,2.0,2.0,1.0,1.0,w1
CFE8568F1B,2.0,2.0,0.0,0.0,0.0,-0.0,w1
AFAF08236A,2.0,0.0,2.0,2.0,4.0,-1.0,w1
A6C6691860,2.0,2.0,0.0,0.0,0.0,-0.0,w1
7B6BD72C95,1.0,0.0,1.0,1.0,1.0,-0.0,w1
0DF65BDC73,2.0,0.0,3.0,3.0,2.0,1.0,w1
788B3608A1,0.0,0.0,1.0,1.0,1.0,-1.0,w1
A7CDE2A18A,3.0,0.0,3.0,3.0,2.0,1.0,w1
D0B12D70BC,2.0,2.0,1.0,1.0,1.0,-0.0,w1
01BF88E010,4.0,1.0,5.0,5.0,3.0,3.0,w1
22911B285F,4.0,1.0,3.0,3.0,3.0,-1.0,w1
FC83DAC7A3,1.0,1.0,1.0,1.0,1.0,1.0,w1
B6794748AA,2.0,0.0,5.0,5.0,5.0,1.0,w1
706A886EAC,1.0,1.0,1.0,1.0,1.0,2.0,w1
FEC755D82D,3.0,1.0,3.0,3.0,5.0,-2.0,w1
B62C3A8DF5,1.0,2.0,1.0,1.0,1.0,1.0,w1
F61CB4D154,3.0,0.0,4.0,4.0,3.0,1.0,w1
07C42EC974,3.0,0.0,3.0,3.0,2.0,1.0,w1
4C45F0FEAA,1.0,1.0,1.0,1.0,0.0,0.0,w1
7C80F7F581,3.0,0.0,5.0,5.0,3.0,1.0,w1
E997442817,2.0,1.0,4.0,4.0,2.0,2.0,w1
41BADC4CC0,1.0,0.0,3.0,5.0,3.0,2.0,w1
B4A7096242,4.0,1.0,3.0,3.0,2.0,2.0,w1
1F6AA516EF,2.0,2.0,1.0,1.0,1.0,0.0,w1
A3F939912F,2.0,1.0,1.0,1.0,5.0,-4.0,w1
EE2CEC48CA,3.0,1.0,3.0,3.0,2.0,1.0,w1
D051933E7F,5.0,1.0,6.0,6.0,4.0,1.0,w1
B4E951F5D4,0.0,2.0,3.0,3.0,2.0,1.0,w1
9F2C265475,2.0,1.0,2.0,2.0,2.0,-0.0,w1
98F44F1024,1.0,2.0,3.0,3.0,2.0,1.0,w1
07B090102F,6.0,3.0,3.0,3.0,3.0,0.0,w1
B96FE9B079,3.0,0.0,4.0,4.0,2.0,2.0,w1
A4C81D7E49,3.0,2.0,2.0,2.0,2.0,-0.0,w1
0689164834,1.0,2.0,-0.0,-0.0,2.0,-2.0,w1
15FB615E11,5.0,0.0,5.0,6.0,4.0,3.0,w1
C0B211B0E0,1.0,3.0,-1.0,-1.0,0.0,-1.0,w1
8B482C9282,4.0,0.0,4.0,4.0,3.0,1.0,w1
0AAB42F5F6,2.0,1.0,1.0,1.0,1.0,0.0,w1
1FE752CF5B,2.0,3.0,1.0,1.0,1.0,3.0,w1
8D609F8DDE,2.0,2.0,0.0,0.0,3.0,-2.0,w1
3CF5E4AE3A,2.0,1.0,1.0,1.0,2.0,-1.0,w1
1101EB57EA,5.0,2.0,8.0,8.0,6.0,2.0,w1
AFFB907FB7,1.0,0.0,3.0,4.0,3.0,1.0,w1
2B398946C0,1.0,1.0,1.0,1.0,1.0,0.0,w1
A2CB82068F,1.0,0.0,1.0,1.0,1.0,1.0,w1
0805871C9E,3.0,1.0,3.0,3.0,3.0,-0.0,w1
F736F9EC61,2.0,1.0,2.0,2.0,1.0,0.0,w1
A1E30318B1,1.0,0.0,1.0,1.0,3.0,-1.0,w1
81AE1BB43A,2.0,1.0,2.0,2.0,1.0,1.0,w1
AF1448C0F9,1.0,1.0,7.0,7.0,6.0,1.0,w1
7264B18DDC,2.0,1.0,1.0,2.0,2.0,-1.0,w1
12EF3E3940,1.0,1.0,-0.0,-0.0,1.0,-1.0,w1
E0192F7708,1.0,2.0,-0.0,1.0,1.0,0.0,w1
1500AEC9E9,5.0,0.0,5.0,6.0,4.0,2.0,w1
4D01D7FC70,3.0,1.0,3.0,3.0,2.0,0.0,w1
2BACC48CD5,0.0,2.0,1.0,1.0,1.0,-1.0,w1
4545678F5C,1.0,2.0,-1.0,-1.0,1.0,-1.0,w1
