Week,Supplier,Material,No_of_Material,Machine,No_of_Product,Product,Customer_id,Product_Target,Delivery,Delayed_Delivery,Deli_Delay_Limit,Extra_Delay,Customer_Validity,High_Delay,Cust_Churn
Week1,S2,Met1,117,Mach3,117.0,P3,C1,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met2,498,Mach1,257.0,P1,C6,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met3,396,Mach2,296.0,P2,C19,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met3,430,Mach1,333.0,P2,C14,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S1,Met2,208,Mach2,208.0,P1,C14,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met2,211,Mach2,55.0,P3,C9,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met1,267,Mach3,179.0,P3,C12,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met1,216,Mach1,214.0,P1,C14,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met3,263,Mach1,236.0,P2,C4,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met1,330,Mach1,74.0,P2,C19,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met2,263,Mach2,171.0,P3,C14,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met3,325,Mach1,92.0,P2,C20,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met3,450,Mach1,312.0,P2,C1,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met1,113,Mach1,113.0,P1,C5,250.0,Yes,No,1,9,Existing,False,False
Week1,S3,Met1,286,Mach1,286.0,P1,C18,250.0,Yes,No,1,9,Existing,False,False
Week1,S3,Met2,499,Mach3,71.0,P3,C20,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met1,215,Mach3,215.0,P2,C6,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S1,Met1,354,Mach2,268.0,P1,C20,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met1,436,Mach2,77.0,P1,C9,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met3,382,Mach1,191.0,P3,C7,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met3,168,Mach1,168.0,P1,C7,250.0,Yes,No,1,9,Existing,False,False
Week1,S3,Met2,241,Mach3,241.0,P2,C5,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met2,286,Mach2,249.0,P3,C18,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met3,214,Mach1,214.0,P1,C12,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met3,227,Mach3,227.0,P1,C10,250.0,Yes,No,1,9,Existing,False,False
Week1,S3,Met3,275,Mach3,223.0,P2,C11,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met3,143,Mach3,69.0,P3,C3,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met1,293,Mach1,293.0,P3,C8,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met3,122,Mach2,122.0,P3,C18,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met2,465,Mach1,250.0,P3,C14,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met1,404,Mach2,66.0,P1,C15,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met3,113,Mach1,113.0,P3,C1,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S2,Met3,450,Mach1,218.0,P1,C12,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met1,257,Mach1,164.0,P2,C20,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met1,192,Mach1,192.0,P2,C16,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met1,309,Mach1,98.0,P1,C13,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met1,494,Mach1,306.0,P1,C11,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met2,481,Mach2,94.0,P3,C15,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met2,117,Mach1,117.0,P2,C11,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met1,216,Mach2,216.0,P1,C13,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met3,219,Mach1,219.0,P1,C17,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met3,236,Mach1,236.0,P1,C17,250.0,Yes,No,1,9,Existing,False,False
Week1,S3,Met2,132,Mach1,132.0,P1,C3,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met2,186,Mach2,186.0,P2,C18,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met2,381,Mach3,269.0,P1,C1,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met3,492,Mach2,56.0,P2,C14,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met2,295,Mach3,221.0,P2,C15,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met1,413,Mach2,233.0,P2,C13,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met1,344,Mach1,344.0,P1,C11,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met2,290,Mach1,273.0,P3,C3,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S2,Met3,330,Mach1,326.0,P1,C5,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met3,497,Mach2,191.0,P1,C5,250.0,No,Yes,1,9,Existing,False,False
Week1,S1,Met3,287,Mach2,182.0,P1,C14,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met3,353,Mach2,240.0,P2,C18,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met2,318,Mach2,225.0,P1,C3,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met3,115,Mach2,115.0,P2,C17,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met2,89,Mach2,89.0,P2,C10,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met3,382,Mach2,277.0,P1,C17,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met3,183,Mach2,183.0,P2,C8,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met1,385,Mach1,338.0,P2,C4,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met2,451,Mach3,279.0,P1,C6,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met1,116,Mach1,116.0,P3,C9,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met3,472,Mach2,252.0,P3,C16,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met3,444,Mach1,82.0,P1,C11,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met2,159,Mach1,159.0,P1,C7,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met2,355,Mach1,317.0,P2,C6,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S1,Met1,227,Mach2,227.0,P3,C15,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met2,440,Mach2,128.0,P3,C3,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met2,485,Mach2,227.0,P2,C11,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S1,Met3,437,Mach1,305.0,P3,C15,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met1,277,Mach1,192.0,P1,C11,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met2,486,Mach1,370.0,P2,C16,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S1,Met3,185,Mach1,72.0,P1,C12,250.0,No,Yes,1,9,Existing,False,False
Week1,S1,Met3,121,Mach1,121.0,P3,C6,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met3,76,Mach1,76.0,P2,C5,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met1,89,Mach1,81.0,P3,C7,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met2,347,Mach2,347.0,P1,C16,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met2,415,Mach1,295.0,P1,C4,250.0,Yes,No,1,9,Existing,False,False
Week1,S3,Met2,232,Mach2,232.0,P2,C12,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met1,68,Mach1,68.0,P3,C2,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met3,409,Mach2,154.0,P1,C5,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met3,142,Mach2,142.0,P3,C1,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S2,Met3,475,Mach1,102.0,P2,C1,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met1,258,Mach3,166.0,P1,C11,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met1,213,Mach1,213.0,P3,C3,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met1,354,Mach1,250.0,P3,C7,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met1,92,Mach2,92.0,P3,C7,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met3,226,Mach3,194.0,P2,C9,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met3,439,Mach1,262.0,P1,C11,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met2,288,Mach1,284.0,P2,C12,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S1,Met3,262,Mach1,220.0,P2,C1,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S1,Met3,51,Mach1,51.0,P3,C9,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met3,58,Mach3,58.0,P3,C17,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met3,67,Mach2,67.0,P2,C7,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met2,427,Mach1,121.0,P3,C12,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met2,366,Mach1,366.0,P2,C4,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S1,Met1,189,Mach1,189.0,P2,C18,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met3,471,Mach2,307.0,P2,C5,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met3,209,Mach2,197.0,P2,C4,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met3,69,Mach1,69.0,P2,C8,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met3,335,Mach3,335.0,P2,C6,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met1,365,Mach2,54.0,P3,C13,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met3,114,Mach2,114.0,P2,C3,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S1,Met1,157,Mach1,94.0,P1,C6,250.0,No,Yes,1,9,Existing,False,False
Week1,S1,Met1,220,Mach2,166.0,P3,C1,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met1,210,Mach2,91.0,P1,C14,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met1,170,Mach1,56.0,P2,C12,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S1,Met1,477,Mach2,203.0,P2,C4,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met1,331,Mach3,106.0,P3,C10,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met3,342,Mach1,311.0,P3,C11,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met2,276,Mach2,58.0,P1,C9,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met3,415,Mach1,370.0,P1,C19,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met3,391,Mach2,92.0,P2,C8,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met1,410,Mach2,239.0,P2,C8,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met3,256,Mach2,93.0,P2,C20,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S1,Met3,461,Mach1,191.0,P3,C5,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met3,107,Mach1,107.0,P1,C1,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met3,434,Mach2,383.0,P3,C15,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met1,298,Mach1,298.0,P3,C19,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met2,311,Mach1,254.0,P1,C16,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met3,368,Mach2,250.0,P3,C6,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met2,86,Mach1,86.0,P3,C17,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met2,475,Mach2,208.0,P3,C7,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met1,85,Mach1,85.0,P2,C13,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met2,340,Mach2,168.0,P3,C20,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met1,55,Mach1,55.0,P1,C13,250.0,No,Yes,1,9,Existing,False,False
Week1,S1,Met3,71,Mach1,71.0,P2,C20,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S1,Met2,374,Mach3,252.0,P3,C11,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met2,195,Mach2,195.0,P1,C20,250.0,No,Yes,1,9,Existing,False,False
Week1,S1,Met3,470,Mach1,336.0,P1,C11,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met2,427,Mach1,335.0,P1,C18,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met3,294,Mach1,271.0,P3,C14,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S2,Met1,187,Mach1,113.0,P3,C1,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met3,460,Mach3,70.0,P3,C6,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met1,259,Mach2,246.0,P3,C17,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met3,237,Mach2,237.0,P3,C17,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met3,247,Mach2,123.0,P3,C16,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met2,74,Mach1,74.0,P2,C14,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met3,472,Mach1,391.0,P3,C2,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met1,139,Mach3,139.0,P3,C2,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S2,Met2,301,Mach1,54.0,P2,C10,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met1,268,Mach1,108.0,P1,C7,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met2,191,Mach2,191.0,P3,C15,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met1,460,Mach2,340.0,P1,C1,250.0,Yes,No,1,9,Existing,False,False
Week1,S3,Met2,478,Mach1,157.0,P1,C10,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met3,313,Mach3,313.0,P1,C5,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met3,287,Mach2,287.0,P1,C11,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met2,320,Mach1,303.0,P1,C9,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met3,228,Mach2,111.0,P1,C9,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met1,197,Mach2,197.0,P2,C9,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met1,303,Mach1,264.0,P3,C18,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S2,Met1,269,Mach1,128.0,P2,C17,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S1,Met1,146,Mach3,146.0,P3,C12,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S1,Met3,341,Mach2,83.0,P2,C16,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met2,303,Mach1,303.0,P1,C1,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met2,136,Mach1,136.0,P2,C9,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S1,Met2,454,Mach2,118.0,P2,C8,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met1,62,Mach1,62.0,P1,C18,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met1,239,Mach1,239.0,P2,C9,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S3,Met3,425,Mach1,336.0,P3,C17,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met2,278,Mach1,278.0,P3,C16,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S2,Met1,479,Mach2,228.0,P1,C4,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met2,354,Mach1,308.0,P3,C7,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met1,163,Mach3,163.0,P3,C14,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S3,Met3,91,Mach1,91.0,P1,C10,250.0,No,Yes,1,9,Existing,False,False
Week1,S2,Met2,158,Mach2,158.0,P1,C10,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met3,220,Mach2,220.0,P1,C17,250.0,Yes,No,1,9,Existing,False,False
Week1,S3,Met3,499,Mach2,100.0,P2,C12,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S3,Met3,285,Mach1,111.0,P2,C3,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met1,393,Mach1,128.0,P3,C18,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met2,127,Mach1,67.0,P3,C1,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met2,97,Mach1,89.0,P2,C1,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S1,Met2,232,Mach3,141.0,P2,C11,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met2,282,Mach1,181.0,P3,C4,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met1,394,Mach1,212.0,P3,C3,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met2,263,Mach3,203.0,P3,C6,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met2,448,Mach2,177.0,P1,C6,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met2,428,Mach1,88.0,P3,C12,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S2,Met2,285,Mach1,197.0,P1,C16,250.0,No,Yes,1,9,Existing,False,False
Week1,S1,Met3,191,Mach3,155.0,P3,C1,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S1,Met1,82,Mach1,82.0,P3,C8,250.0,Yes,No,3,11,Not_Existing,True,True
Week1,S2,Met2,304,Mach3,166.0,P1,C15,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met3,286,Mach3,250.0,P1,C3,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met1,453,Mach2,386.0,P1,C13,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met1,218,Mach2,215.0,P1,C2,250.0,No,Yes,1,9,Existing,False,False
Week1,S3,Met2,88,Mach3,88.0,P1,C12,250.0,Yes,No,1,9,Existing,False,False
Week1,S2,Met3,147,Mach1,147.0,P1,C16,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met3,283,Mach1,191.0,P3,C8,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met3,418,Mach2,101.0,P2,C14,200.0,No,Yes,2,10,Not_Existing,True,True
Week1,S2,Met1,195,Mach1,195.0,P1,C10,250.0,Yes,No,1,9,Existing,False,False
Week1,S1,Met1,97,Mach2,97.0,P3,C18,250.0,No,Yes,3,11,Not_Existing,True,True
Week1,S3,Met2,435,Mach1,218.0,P2,C12,200.0,Yes,No,2,10,Not_Existing,True,True
Week1,S2,Met1,499,Mach1,126.0,P3,C14,250.0,No,Yes,3,11,Not_Existing,True,True
